(j) farTensorX against every cached 220-bit unequal-cell reference (439 records).  pair = sS/g;sT/g in gcd cells g = min(sT, sS) per axis; R/g the target centre
    (source at 0); rt = route (1 whole trapezoid box, 2 gcd box sum, 3 k-series), L = whole-box
    L; eMx = max_ab |G - Gr| / max |Gr|; pEn = worst per entry (entries above 1e-8 of the largest);
    dig = log10(pEn / eps); c/G = certificate / max |G| (cert = true); c/e = certificate / actual
    absolute error (< 1 is a VIOLATION, column viol); srt/sid/seMx = route of the swapped orientation
    G(-R; sS, sT) (coarse target), |G - (Vs/Vt) G_swap| / max |G|, and (Vs/Vt) G_swap vs Gr; flip =
    worst |G_ab(sigma R) - sigma_a sigma_b G_ab(R)| / max |G| over the axis reflections and -R;
    bw = farTensorX bitwise equal to farBlockX! on the group with the same certificate.
    load average at start [5.4111328125, 5.361328125, 4.4228515625]; threads 1

pair            f        R/g              rt L   eMx       pEn       dig   c/G       c/e      viol srt sid       seMx      flip      bw
16x1x1;1x1x1    0.37     11.5,0.0,0.0     2  -1  2.06e-16  4.21e-16  0.3   1.48e-14  71.9          2   2.80e-16  4.86e-16  2.80e-16  y
16x1x1;1x1x1    0.37     12.5,0.0,0.0     2  -1  2.46e-16  2.46e-16  0.0   9.89e-15  40.1          2   5.78e-17  2.46e-16  5.78e-17  y
16x1x1;1x1x1    0.37     14.5,0.0,0.0     2  -1  3.72e-16  3.72e-16  0.2   1.11e-14  29.9          2   1.11e-16  2.61e-16  1.11e-16  y
16x1x1;1x1x1    0.37     16.5,0.0,0.0     1  52  9.59e-16  9.59e-16  0.6   1.50e-14  15.6          1   0         9.59e-16  0         y
16x1x1;1x1x1    0.37     24.5,0.0,0.0     1  34  2.44e-15  2.44e-15  1.0   7.79e-15  3.2           1   0         2.44e-15  0         y
16x1x1;1x1x1    0.37     40.5,0.0,0.0     1  24  1.49e-15  1.49e-15  0.8   5.67e-15  3.8           1   0         1.49e-15  0         y
4x4x4;1x1x1     0.37     3.5,0.0,0.0      3  -1  5.71e-17  5.71e-17  -0.6  4.68e-15  82.0          3   3.39e-38  5.71e-17  4.25e-38  y
4x4x4;1x1x1     0.37     4.5,0.0,0.0      3  -1  6.47e-17  6.47e-17  -0.5  4.66e-15  72.0          3   4.58e-38  6.47e-17  6.87e-38  y
4x4x4;1x1x1     0.37     5.5,0.0,0.0      3  -1  1.83e-17  4.27e-17  -0.7  4.65e-15  254.3         3   2.58e-38  1.83e-17  3.87e-38  y
4x4x4;1x1x1     0.37     6.5,0.0,0.0      3  -1  1.23e-17  2.90e-17  -0.9  4.66e-15  377.9         3   4.04e-38  1.23e-17  8.09e-38  y
4x4x4;1x1x1     0.37     8.5,0.0,0.0      1  38  4.46e-16  6.98e-16  0.5   2.62e-14  58.7          1   0         4.46e-16  0         y
4x4x4;1x1x1     0.37     10.5,0.0,0.0     1  30  3.03e-16  8.78e-16  0.6   2.47e-14  81.3          1   0         3.03e-16  0         y
4x4x4;1x1x1     0.37     18.5,0.0,0.0     1  20  1.96e-16  4.18e-16  0.3   1.33e-14  67.9          1   0         1.96e-16  0         y
4x4x4;1x1x1     0.37     34.5,0.0,0.0     1  16  3.18e-16  3.18e-16  0.2   4.92e-15  15.5          1   0         3.18e-16  0         y
8x8x8;1x1x1     0.37     5.5,0.0,0.0      3  -1  8.74e-17  8.74e-17  -0.4  4.77e-15  54.6          3   0         8.74e-17  0         y
8x8x8;1x1x1     0.37     6.5,0.0,0.0      3  -1  5.04e-17  7.82e-17  -0.5  4.73e-15  93.8          3   8.04e-38  5.04e-17  1.47e-37  y
8x8x8;1x1x1     0.37     7.5,0.0,0.0      3  -1  1.90e-17  5.12e-17  -0.6  4.70e-15  247.4         3   1.99e-38  1.90e-17  4.80e-38  y
8x8x8;1x1x1     0.37     8.5,0.0,0.0      3  -1  3.69e-17  3.69e-17  -0.8  4.69e-15  127.2         3   4.86e-38  3.69e-17  9.71e-38  y
8x8x8;1x1x1     0.37     10.5,0.0,0.0     3  -1  8.50e-17  8.50e-17  -0.4  4.69e-15  55.2          3   5.50e-38  8.50e-17  1.17e-37  y
8x8x8;1x1x1     0.37     12.5,0.0,0.0     1  56  1.49e-15  1.65e-15  0.9   1.71e-14  11.5          1   0         1.49e-15  0         y
8x8x8;1x1x1     0.37     20.5,0.0,0.0     1  30  3.97e-16  3.97e-16  0.3   1.37e-14  34.6          1   0         3.97e-16  0         y
8x8x8;1x1x1     0.37     36.5,0.0,0.0     1  20  3.38e-16  3.38e-16  0.2   1.27e-14  37.6          1   0         3.38e-16  0         y
