(e) L(1e-13) from the proven tail bound, per shape, separation and direction.
    Lwb = smallest even L <= 56 whose whole-box tail is below tol*est(R);
    Loct = largest of the 8 sub-box L_j for the octant split (budget tol*est/8);
    -1 = the bound is not met at L <= 56.  cost = complex multiply-adds issued.

shp  f           dir   sep  rho     kR       Lwb  cost    Loct costOct  route
c8   1.0 + 0.1im face  2    0.6124  2.233    50   4473    36   51464    1
c8   1.0 + 0.1im face  3    0.4082  3.349    30   1673    25   30450    1
c8   1.0 + 0.1im face  4    0.3062  4.465    24   1096    21   23030    1
c8   1.0 + 0.1im face  6    0.2041  6.698    20   779     17   17654    1
c8   1.0 + 0.1im face  8    0.1531  8.93     18   641     16   14798    1
c8   1.0 + 0.1im face  16   0.0765  17.86    16   516     14   12600    1
c8   1.0 + 0.1im face  32   0.0383  35.72    14   405     13   10976    1
c8   1.0 + 0.1im face  64   0.0191  71.441   14   405     13   10976    1
c8   1.0 + 0.1im body  2    0.5     2.734    38   2631    31   38276    1
c8   1.0 + 0.1im body  3    0.3333  4.101    26   1275    22   24164    1
c8   1.0 + 0.1im body  4    0.25    5.469    22   931     19   20230    1
c8   1.0 + 0.1im body  6    0.1667  8.203    18   641     16   15953    1
c8   1.0 + 0.1im body  8    0.125   10.937   16   516     15   14336    1
c8   1.0 + 0.1im body  16   0.0625  21.874   14   405     14   11788    1
c8   1.0 + 0.1im body  32   0.0312  43.748   14   405     13   10976    1
c8   1.0 + 0.1im body  64   0.0156  87.497   14   405     13   10976    1
c4   1.0 + 0.0im axis  2    0.866   3.142    -1   -1      51   104384   2
c4   1.0 + 0.0im axis  3    0.5774  4.712    48   4132    32   49420    1
c4   1.0 + 0.0im axis  4    0.433   6.283    34   2125    26   35224    1
c4   1.0 + 0.0im axis  6    0.2887  9.425    26   1275    21   25900    1
c4   1.0 + 0.0im axis  8    0.2165  12.566   22   931     19   21308    1
c4   1.0 + 0.0im axis  16   0.1083  25.133   18   641     17   17164    1
c4   1.0 + 0.0im axis  32   0.0541  50.265   18   641     16   15260    1
c4   1.0 + 0.0im axis  64   0.0271  100.531  16   516     15   14336    1
