# assembled by mkrefcache.jl; see the header of that file for the format
pairs|D=5,1,0|s=1//32,1//32,1//32|f=1.0;0.0|p=220|n=44|0.008286793930459798860408740210247197277658192586038489576187911369483;0.013112305252926592752153184855615980792859227025516914404623284007983 0.013094765882984193790852836842106275107637088122980414042251405384773;0.013942120976002765908403053810572425833735148384069116999273704897105 0.0099532479693925898082234475369111496491995205070650253991276169082345;0.013432743999362374428981173542850235993518795820164243695214337813338 0.011010645345047884056383815468410926781847129933956480931277092326416;0.013617026124208606672265381734460009177816771590704182315240360227563 0.010471228290739709635870379066788881667561131990949880545231599084944;0.013524763716136502621628502706996682601815797024297236096508361634327 0.010471228290739709635870379066788881667561131990949880545231599084944;0.013524763716136502621628502706996682601815797024297236096508361634327 0.0047261392905048695247172912286915156564900503509775604502817341540178;0.012137590069945076302209557793151102401822722958372945886929801918031 0.008286793930459798860408740210247197277658192586038489576187911369483;0.013112305252926592752153184855615980792859227025516914404623284007983 0.00605396222622624999033549213895876765287079771882256261838013547244;0.012532951374019460748357373109047393885553026837598758729744516806139 0.0066968154548410477761554994031966652373632738214142251309157934242058;0.012710054297519382131279739133431390768095841325058266970727384100988 0.006370939579355743081765742062819637992012016360334769822606883264132;0.012621384840410514955726368020623420506612655986024020301225222295534 0.006370939579355743081765742062819637992012016360334769822606883264132;0.012621384840410514955726368020623420506612655986024020301225222295534 0.0066968154548410477761554994031966652373632738214142251309157934242058;0.012710054297519382131279739133431390768095841325058266970727384100988 0.011010645345047884056383815468410926781847129933956480931277092326416;0.013617026124208606672265381734460009177816771590704182315240360227563 0.0084516576359591407290322238465659353191250242262073115259455033521177;0.013115181670824387996988608307715319566352771771639186681124892930376 0.0088867007010845253473371384063303507499456084174055430174850962815959;0.013205938863372720653284787688564509329842428987869529515885843423288 0.0086678711667427701658933549729212036618760696313718572784660421822367;0.013160540246604594166008246215673196888401305555941780615417706160161 0.0086678711667427701658933549729212036618760696313718572784660421822367;0.013160540246604594166008246215673196888401305555941780615417706160161 0.00605396222622624999033549213895876765287079771882256261838013547244;0.012532951374019460748357373109047393885553026837598758729744516806139 0.0099532479693925898082234475369111496491995205070650253991276169082345;0.013432743999362374428981173542850235993518795820164243695214337813338 0.0072726406967244814136481416293907427724890468494754689330889675859231;0.012845064858657948333818007755214043801283448674545533819193030380445 0.0084516576359591407290322238465659353191250242262073115259455033521177;0.013115181670824387996988608307715319566352771771639186681124892930376 0.0078480601239622038501097990532587031665486579112671698824600324630586;0.0129798644737795539215984745335804910597531636992070952115238254542 0.0078480601239622038501097990532587031665486579112671698824600324630586;0.0129798644737795539215984745335804910597531636992070952115238254542 0.006370939579355743081765742062819637992012016360334769822606883264132;0.012621384840410514955726368020623420506612655986024020301225222295534 0.010471228290739709635870379066788881667561131990949880545231599084944;0.013524763716136502621628502706996682601815797024297236096508361634327 0.0078480601239622038501097990532587031665486579112671698824600324630586;0.0129798644737795539215984745335804910597531636992070952115238254542 0.0086678711667427701658933549729212036618760696313718572784660421822367;0.013160540246604594166008246215673196888401305555941780615417706160161 0.0084589344075106021317910868249164767307458441925675608041339369668424;0.013115301525199577903208533312461425706238691036656054146142499423148 0.0080455522339320543306935020817000987191803563204228521908041180732687;0.01302490379540504210345631679513813396542004704096703205108387541409 0.006370939579355743081765742062819637992012016360334769822606883264132;0.012621384840410514955726368020623420506612655986024020301225222295534 0.010471228290739709635870379066788881667561131990949880545231599084944;0.013524763716136502621628502706996682601815797024297236096508361634327 0.0078480601239622038501097990532587031665486579112671698824600324630586;0.0129798644737795539215984745335804910597531636992070952115238254542 0.0086678711667427701658933549729212036618760696313718572784660421822367;0.013160540246604594166008246215673196888401305555941780615417706160161 0.0080455522339320543306935020817000987191803563204228521908041180732687;0.01302490379540504210345631679513813396542004704096703205108387541409 0.0084589344075106021317910868249164767307458441925675608041339369668424;0.013115301525199577903208533312461425706238691036656054146142499423148
vol|D=5,1,0|s=1//32,1//32,1//32|f=1.0;0.0|p=220|n=16|0.0015707382212663702992743371438435331389469806608761851600457574251813;0.00036015507920717860637885420629866948321695387224135421728816007538182 0.00041454414704049646234036066726187954813207077409965989823071828754126;7.179201346310860361842167225776301755161283080430379043155119363541e-06 1.2138739435984098532104294587796357625173516632240704026347766886565e-72;4.5463287666490113495933281948116644082855651637247930073352633481252e-74 0.00041454414704049646234036066726187954813207077409965989823071828754126;7.179201346310860361842167225776301755161283080430379043155119363541e-06 -0.0004205529654123699925574781638706401856967656656625936183284823965722;0.0003256949194944148931981911421550168317978706999698101131603092192526 -4.5188751964531681502334086122103090755864471906912842347136528407657e-74;3.9361362291848031640657373540930664889010651973503767165695143495794e-75 1.2138739435984098532104294587796357625173516632240704026347766886565e-72;4.5463287666490113495933281948116644082855651637247930073352633481252e-74 -4.5188751964531681502334086122103090755864471906912842347136528407657e-74;3.9361362291848031640657373540930664889010651973503767165695143495794e-75 -0.00050334343846019089767347999289261909297898258258602313035722003263986;0.00032425907952345030056817927916051935174024858945507595021397325774453
vol|D=5,1,0|s=1//32,1//32,1//32|f=1.0;0.0|p=220|n=24|0.0015707382212663702992743371438435331389463689298230283279763202705251;0.00036015507920717860637885420629866948321695387224135421728816007538182 0.00041454414704049646234036066726187954815513332429979301961477584229537;7.1792013463108603618421672257763017551612830804303790431551193636723e-06 -2.8781947859750398294001275179601890409398912577064767015523793948544e-72;1.0673009752189304848725580897527797911565229667185488939162147939829e-74 0.00041454414704049646234036066726187954815513332429979301961477584229537;7.1792013463108603618421672257763017551612830804303790431551193636723e-06 -0.00042055296541236999255747816387064018567977755759157811349793005087628;0.0003256949194944148931981911421550168317978706999698101131603092192639 -3.5430468486856438151180640245741813955161740785749614660560131816212e-73;-3.2204638356215814107221590991902269070351132894642861471965377938636e-75 -2.8781947859750398294001275179601890409398912577064767015523793948544e-72;1.0673009752189304848725580897527797911565229667185488939162147939829e-74 -3.5430468486856438151180640245741813955161740785749614660560131816212e-73;-3.2204638356215814107221590991902269070351132894642861471965377938636e-75 -0.00050334343846019089767347999289261909299536011634738423883986267780541;0.00032425907952345030056817927916051935174024858945507595021397325776772
vol|D=5,1,0|s=1//32,1//32,1//32|f=1.0;0.0|p=220|n=32|0.0015707382212663702992743371438435331389463689298230283279765806233572;0.00036015507920717860637885420629866948321695387224135421728816007540181 0.00041454414704049646234036066726187954815513332429979301961381746645604;7.1792013463108603618421672257763017551612830804303790431551193631471e-06 -8.3728273179503867139444415058118164417485756262142120706568145709529e-73;-1.1133385691485541732591318865346300669378597331510279749385222587527e-74 0.00041454414704049646234036066726187954815513332429979301961381746645604;7.1792013463108603618421672257763017551612830804303790431551193631471e-06 -0.0004205529654123699925574781638706401856797775575915781134976790130802;0.00032569491949441489319819114215501683179787069996981011316030921925057 1.7915502269316180679178625114408073274666534987263385394507383156741e-73;2.527158493990826132549830452959027822309725615706873641276700288028e-75 -8.3728273179503867139444415058118164417485756262142120706568145709529e-73;-1.1133385691485541732591318865346300669378597331510279749385222587527e-74 1.7915502269316180679178625114408073274666534987263385394507383156741e-73;2.527158493990826132549830452959027822309725615706873641276700288028e-75 -0.00050334343846019089767347999289261909299536011634738423884037396384617;0.00032425907952345030056817927916051935174024858945507595021397325776221
vol|D=5,1,0|s=1//32,1//32,1//32|f=1.0;0.0|p=220|n=40|0.0015707382212663702992743371438435331389463689298230283279765806233584;0.00036015507920717860637885420629866948321695387224135421728816007532676 0.00041454414704049646234036066726187954815513332429979301961381746649979;7.1792013463108603618421672257763017551612830804303790431551193636723e-06 5.1240089969811295098086564435789607687299834858366027029204517242573e-73;-4.6402504204780155525092204411204449036774390963258730134772743978586e-75 0.00041454414704049646234036066726187954815513332429979301961381746649979;7.1792013463108603618421672257763017551612830804303790431551193636723e-06 -0.00042055296541236999255747816387064018567977755759157811349767901307585;0.00032569491949441489319819114215501683179787069996981011316030921917204 2.539996890703621181845305196011548476975009635705426179048387376137e-73;1.3725838935656194740500406016156564865353044547720318737252634200501e-75 5.1240089969811295098086564435789607687299834858366027029204517242573e-73;-4.6402504204780155525092204411204449036774390963258730134772743978586e-75 2.539996890703621181845305196011548476975009635705426179048387376137e-73;1.3725838935656194740500406016156564865353044547720318737252634200501e-75 -0.00050334343846019089767347999289261909299536011634738423884037396371461;0.00032425907952345030056817927916051935174024858945507595021397325778336
pairs|D=2,0,0|s=1//32,1//32,1//32|f=1.0;0.0|p=220|n=44|0.035136993127377044683649355314844711379215546598275489193306031441762;0.015193573094664201738691270618962521682742752333459773130089156100531 0.068179226916345588713338287317672989148057664588355204133775403904708;0.015491493556805176174728897160392636970874918820517411914895915810596 0.046958015064325671957515806104400824645698631200490941078716278664799;0.015342255922605074480542005136979132534805687215012737435506336820784 0.046958015064325671957515806104400824645698631200490941078716278664799;0.015342255922605074480542005136979132534805687215012737435506336820784 0.046958015064325671957515806104400824645698631200490941078716278664836;0.015342255922605074480542005136979132534805687215012737435506336820793 0.046958015064325671957515806104400824645698631200490941078716278664836;0.015342255922605074480542005136979132534805687215012737435506336820793 0.021509371642186798997001722882995087622857453547405503100501042096585;0.014704674411673170612449670675221135164669246061649944989071746118371 0.035136993127377044683649355314844711379215546598275489193306031441762;0.015193573094664201738691270618962521682742752333459773130089156100531 0.027111292899345108553023820321388635724380911692295520918375256214721;0.014948342897412884023193571260518292784632243230510217946355310590596 0.027111292899345108553023820321388635724380911692295520918375256214721;0.014948342897412884023193571260518292784632243230510217946355310590596 0.027111292899345108553023820321388635724380911692295520918375256214647;0.014948342897412884023193571260518292784632243230510217946355310590373 0.027111292899345108553023820321388635724380911692295520918375256214647;0.014948342897412884023193571260518292784632243230510217946355310590373 0.027111292899345108553023820321388635724380911692295520918375256214721;0.014948342897412884023193571260518292784632243230510217946355310590596 0.046958015064325671957515806104400824645698631200490941078716278664799;0.015342255922605074480542005136979132534805687215012737435506336820784 0.03755599994531498510023680095886718765646740050271863295916985206871;0.015194082729805339443055379080639870032338682371262620338765092469516 0.032349845842590866310797614609236685392878842138559515832643374776768;0.01509554085691178245340062783052488608411644639773674107551415768166 0.034825799489663753174016241860174747105346371608101375950961485660498;0.015144790570185287278470759540301812197489850773850865437641441985288 0.034825799489663753174016241860174747105346371608101375950961485660498;0.015144790570185287278470759540301812197489850773850865437641441985288 0.027111292899345108553023820321388635724380911692295520918375256214721;0.014948342897412884023193571260518292784632243230510217946355310590596 0.046958015064325671957515806104400824645698631200490941078716278664799;0.015342255922605074480542005136979132534805687215012737435506336820784 0.032349845842590866310797614609236685392878842138559515832643374776768;0.01509554085691178245340062783052488608411644639773674107551415768166 0.03755599994531498510023680095886718765646740050271863295916985206871;0.015194082729805339443055379080639870032338682371262620338765092469516 0.034825799489663753174016241860174747105346371608101375950961485660498;0.015144790570185287278470759540301812197489850773850865437641441985288 0.034825799489663753174016241860174747105346371608101375950961485660498;0.015144790570185287278470759540301812197489850773850865437641441985288 0.027111292899345108553023820321388635724380911692295520918375256214647;0.014948342897412884023193571260518292784632243230510217946355310590373 0.046958015064325671957515806104400824645698631200490941078716278664836;0.015342255922605074480542005136979132534805687215012737435506336820793 0.034825799489663753174016241860174747105346371608101375950961485660498;0.015144790570185287278470759540301812197489850773850865437641441985288 0.034825799489663753174016241860174747105346371608101375950961485660498;0.015144790570185287278470759540301812197489850773850865437641441985288 0.03755599994531498510023680095886718765646740050271863295916985206871;0.015194082729805339443055379080639870032338682371262620338765092469516 0.032349845842590866310797614609236685392878842138559515832643374776768;0.01509554085691178245340062783052488608411644639773674107551415768166 0.027111292899345108553023820321388635724380911692295520918375256214647;0.014948342897412884023193571260518292784632243230510217946355310590373 0.046958015064325671957515806104400824645698631200490941078716278664836;0.015342255922605074480542005136979132534805687215012737435506336820793 0.034825799489663753174016241860174747105346371608101375950961485660498;0.015144790570185287278470759540301812197489850773850865437641441985288 0.034825799489663753174016241860174747105346371608101375950961485660498;0.015144790570185287278470759540301812197489850773850865437641441985288 0.032349845842590866310797614609236685392878842138559515832643374776768;0.01509554085691178245340062783052488608411644639773674107551415768166 0.03755599994531498510023680095886718765646740050271863295916985206871;0.015194082729805339443055379080639870032338682371262620338765092469516
vol|D=2,0,0|s=1//32,1//32,1//32|f=1.0;0.0|p=220|n=4|0.02082462932029003483230444063480155374093766963120543816615307603639;0.00039416749157422877084271845434450097546226217172798110535669086654691 -1.8473585320806493229718603353411095232592363644203841906748534375468e-69;-4.1066708713185103082637180377988460040570804932967405242064714741346e-72 -2.1461959416819308310996612719404066520217598939589757509310797289147e-69;2.307031523133709559447208491221047539829643873354050464069692050207e-72 -1.8473585320806493229718603353411095232592363644203841906748534375468e-69;-4.1066708713185103082637180377988460040570804932967405242064714741346e-72 -0.0090023105283015844862591558051629309584926104621027155599513148223225;0.00038806196663717240759882557294882872696605651425199650688959340904559 -4.4585069964660891671908179508730362345204149695838163180273155497167e-70;1.8757758101665133726339156246002467868463952791555603168271483937206e-74 -2.1461959416819308310996612719404066520217598939589757509310797289147e-69;2.307031523133709559447208491221047539829643873354050464069692050207e-72 -4.4585069964660891671908179508730362345204149695838163180273155497167e-70;1.8757758101665133726339156246002467868463952791555603168271483937206e-74 -0.009002310528301584486259155805162930958492610462102715559951314822341;0.0003880619666371724075988255729488287269660565142519965068895934090453
vol|D=2,0,0|s=1//32,1//32,1//32|f=1.0;0.0|p=220|n=8|0.020824616410895964352530222035838593619425869136026618994266103564251;0.00039416749157422795861900500045993584614366240523786734660378569041329 -3.5452665229888963917191531781350634547442320020477291433138959780293e-68;1.1202578764611860734712414045868794311664542192735811124211197430399e-72 6.7747975977204350233653526607440442411414402981765891235857702930777e-68;-1.3491681601825194227117320470622668221984549249333291868125580272201e-72 -3.5452665229888963917191531781350634547442320020477291433138959780293e-68;1.1202578764611860734712414045868794311664542192735811124211197430399e-72 -0.009002304098329805466880462421286241446538285233076346507607082139935;0.00038806196663717066951347590254123925535932120131593127228954252088515 1.1731678121947370533797914093646229447596740935383189410130994835824e-69;5.634155401263411663183692958242266926450099425254813385451479546718e-75 6.7747975977204350233653526607440442411414402981765891235857702930777e-68;-1.3491681601825194227117320470622668221984549249333291868125580272201e-72 1.1731678121947370533797914093646229447596740935383189410130994835824e-69;5.634155401263411663183692958242266926450099425254813385451479546718e-75 -0.0090023040983298054668804624212862414465382852330763465076070821399443;0.00038806196663717066951347590254123925535932120131593127228954252088572
vol|D=2,0,0|s=1//32,1//32,1//32|f=1.0;0.0|p=220|n=16|0.020824616410896475157756745400619290276567307159194672419053557583939;0.00039416749157422795861900500045993579288894389410351705300373915191993 1.947975819468234913239068779549203910312811588553036842944507198433e-67;-1.6100084270095854778317117205907131875718000363264229588908699663836e-71 -8.7627759329953133001367620324165808087216239739837656672663188941891e-68;-4.6122513366592173705990802200238332869303534857894613871271596805954e-71 1.947975819468234913239068779549203910312811588553036842944507198433e-67;-1.6100084270095854778317117205907131875718000363264229588908699663836e-71 -0.0090023040983300607641629268727660229346326245863733348320649351372123;0.00038806196663717066951347590254123912638581173180394788271251984938619 7.6553048082867922703217573997136174043220420890949706259143877561186e-71;9.477325099752867309737664046835597983681389212505352682663019891894e-74 -8.7627759329953133001367620324165808087216239739837656672663188941891e-68;-4.6122513366592173705990802200238332869303534857894613871271596805954e-71 7.6553048082867922703217573997136174043220420890949706259143877561186e-71;9.477325099752867309737664046835597983681389212505352682663019891894e-74 -0.0090023040983300607641629268727660229346326245863733348320649351372494;0.00038806196663717066951347590254123912638581173180394788271251984938677
vol|D=2,0,0|s=1//32,1//32,1//32|f=1.0;0.0|p=220|n=32|0.020824616410896475157756745398522009054354233456636468506110971251333;0.00039416749157422795861900500045993579288894389410351705300373915185965 1.6945187102094536580908894875708605444093047252153437440860547910326e-67;8.3001256937786083304558317693982976614904084399201100011755149344404e-71 -2.4352566992741546035022676617791084880154706488898014528129906993599e-67;1.0094686794370584757726056540233181733027303439653972661709051163396e-70 1.6945187102094536580908894875708605444093047252153437440860547910326e-67;8.3001256937786083304558317693982976614904084399201100011755149344404e-71 -0.0090023040983300607641629268717176494853069082108914945946139592498802;0.00038806196663717066951347590254123912638581173180394788271251984942589 -8.6314697298501994838199404362034211084509618120597737615493637649519e-71;4.9099773786317855796940778962342701003094309412062768541110653212387e-75 -2.4352566992741546035022676617791084880154706488898014528129906993599e-67;1.0094686794370584757726056540233181733027303439653972661709051163396e-70 -8.6314697298501994838199404362034211084509618120597737615493637649519e-71;4.9099773786317855796940778962342701003094309412062768541110653212387e-75 -0.0090023040983300607641629268717176494853069082108914945946139592497319;0.00038806196663717066951347590254123912638581173180394788271251984942878
